prompt,answer
Margaret Sanger is best known for,opening the first birth control clinic in the United States.
Which of the following was not a cause of the Great Migration?,The Great Depression
A major cause of the Depression of 1929 was,"overproduction and underconsumption of goods, causing the prices of goods to decrease."
"When Herbert Hoover was elected president in 1928, the U.S. economy appeared to be in a",period of prosperity.
FDR and Herbert Hoover differed in that,"Herbert Hoover believed in rugged individualism, while FDR believed in ""priming the pump"" with government funds to end the Depression."
Franklin D. Roosevelt's administration began with,a bank holiday.
"Which of the following organizations, born in the 1930s, focused on organizing unskilled workers?",Congress of Industrial Organizations
Pick the answer that correctly matches the artist and the cultural product he or she created: X)    John Steinbeck Y)    Frank Capra Z)    Margaret Mitchell 1)    Mr. Smith Goes to Washington 2)    The Good Earth 3)    The Grapes of Wrath 4)    Gone With the Wind 5)    Waiting for Lefty Answer choices:,X-3; Y-1; Z-4
Sit-down strikes proved to be a successful strategy for some unions in the 1930s primarily because they,prevented the factory owners from carrying on production with strikebreakers.
The National Industrial Recovery Act and the Wagner Act both dealt with the issue of,workers' rights to organize unions.
"The Washington Conference, held in 1921, resulted in","treaties of disarmament among Great Britain, Japan, and the United States."
The United States demonstrated its support for the Allies before it entered World War II by,the adoption of the policy of Lend-Lease.
All of the following were principles outlined in the Atlantic Charter by FDR and Winston Churchill EXCEPT,territorial aggrandizement by Great Britain and the United States.
Which of the following was a result of the Munich Pact of 1938?,The German invasion of Czechoslovakia in 1939
NATO was formed primarily to stop the spread of Communism in,Europe.
"In the years after World War II, President Truman's foreign policy was focused chiefly on",containment of international communism.
The reaction by Western Europe to the Berlin blockade was the,Berlin airlift.
"For Western Europe, the Marshall Plan provided",economic aid.
Julius and Ethel Rosenberg were tried for and found guilty of,providing information about the atomic bomb to the Soviet Union.
Which of the following was NOT considered an important factor in the rise of suburbia after World War II?,The construction of new train lines
All of the following are associated with the anti-communist movement of the late 1940s and 1950s EXCEPT the,G.I. Bill.
William Levitt is often compared to Henry Ford because they both,standardized production of particular products.
Which of the following is associated with the Kennedy administration?,Alliance for Progress
Baker v. Carr was concerned with,legislative reapportionment.
